Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Paul Constantinides,HPS,Hyperforce Trust Platform (HTP),PKI - RA,certificateservices,25,To Be Decommissioned,2,To Be Decommissioned,1,To Be Decommissioned,FY27Q1,,
Darryn Dieken,Big Data & Observability,Monitoring Cloud,Monitoring Agent,cloudwatchexporter,26,FY27Q2,2,FY27Q2,1,FY27Q3,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Service Protection,credential-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Fabric,data-cloud-cdp-fabric-access,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Detection Platform - Foundation ML,dnr-airflow,0,N/A,0,N/A,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Log Platform - Collect,dnr-connector,0,N/A,1,To Be Decommissioned,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Search Experience,dnr-k2s,0,N/A,0,N/A,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Search Experience,dnr-molokai,0,N/A,0,N/A,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Detection Platform - Detection Engines,dnr-orion,0,N/A,0,N/A,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Log Platform - Collect,dnr-prism,0,N/A,1,To Be Decommissioned,1,To Be Decommissioned,FY27Q4,,
Jim Wiese,GIA,Secure Stack Engineering,TIP Detection Platform - Detection Engines,dnr-streamingsearch,0,N/A,0,N/A,1,To Be Decommissioned,FY27Q4,,
Muralidhar Krishnaprasad,Analytics Cloud,CRMA Core,CRM Analytics Security Improvements,eanalytics,25,FY27Q1,0,N/A,0,N/A,N/A,Multi-Account,"1/12: Team is planning to have FKP canary rollout in March 2026 once the 262 release is out on the SB0/Prod0 cells. Once confident on the CRMA behavior on canary, team will start a phased rollout to the Prod customer cells.
  11/13: POC in progress, with additional steps to be completed by Nov 21. The next steps will be work on the commercial EKS to FKP rollout; timeline is TBD."
Muralidhar Krishnaprasad,Analytics Cloud,CRMA Core,CRMA-Cluster Management Service,eanalytics-buzzard,25,FY27Q1,0,N/A,0,N/A,N/A,Multi-Account,"1/12: Team is planning to have FKP canary rollout in March 2026 once the 262 release is out on the SB0/Prod0 cells. Once confident on the CRMA behavior on canary, team will start a phased rollout to the Prod customer cells.
  11/13: POC in progress, with additional steps to be completed by Nov 21. The next steps will be work on the commercial EKS to FKP rollout; timeline is TBD."
